id,name,name_he,continent
1,Uganda,אוגנדה,Africa
2,Ethiopia,אתיופיה,Africa
3,Botswana,בוטסוואנה,Africa
4,South Africa,דרום אפריקה,Africa
5,Tunisia,טוניסיה,Africa
6,Tanzania,טנזניה,Africa
7,Madagascar,מדגסקר,Africa
8,Egypt,מצרים,Africa
9,Morocco,מרוקו,Africa
10,Namibia,נמיביה,Africa
11,Kenya,קניה,Africa
12,Rwanda,רואנדה,Africa
13,Uzbekistan,אוזבקיסטן,Asia
14,Azerbaijan,אזרבייג'ן,Asia
15,United Arab Emirates,איחוד האמירויות,Asia
16,Indonesia,אינדונזיה,Asia
17,Bhutan,בהוטן,Asia
18,Myanmar,בורמה,Asia
19,India,הודו,Asia
20,Hong Kong,הונג קונג,Asia
21,Vietnam,וייטנאם,Asia
22,Taiwan,טאיוואן,Asia
23,Tajikistan,טג'יקיסטן,Asia
24,Turkey,טורקיה,Asia
25,Tibet,טיבט,Asia
26,Japan,יפן,Asia
27,Jordan,ירדן,Asia
28,Israel,ישראל,Asia
29,Laos,לאוס,Asia
30,Mongolia,מונגוליה,Asia
31,Nepal,נפאל,Asia
32,China,סין,Asia
33,Singapore,סינגפור,Asia
34,Sri Lanka,סרי לנקה,Asia
35,Oman,עומאן,Asia
36,Philippines,פיליפינים,Asia
37,North Korea,צפון קוריאה,Asia
38,South Korea,קוריאה הדרומית,Asia
39,Kyrgyzstan,קירגיזסטן,Asia
40,Cambodia,קמבודיה,Asia
41,Thailand,תאילנד,Asia
42,Austria,אוסטריה,Europe
43,Ukraine,אוקראינה,Europe
44,Italy,איטליה,Europe
45,Azores,איים האזורים,Europe
46,Canary Islands,איים הקנריים,Europe
47,Iceland,איסלנד,Europe
48,Ireland,אירלנד,Europe
49,Albania,אלבניה,Europe
50,England,אנגליה,Europe
51,Estonia,אסטוניה,Europe
52,Armenia,ארמניה,Europe
53,Scotland,סקוטלנד,Europe
54,Bulgaria,בולגריה,Europe
55,Bosnia and Herzegovina,בוסניה והרצגובינה,Europe
56,Belgium,בלגיה,Europe
57,Georgia,גאורגיה,Europe
58,Greenland,גרינלנד,Europe
59,Germany,גרמניה,Europe
60,Dagestan,דגסטאן,Europe
61,Netherlands,הולנד,Europe
62,Hungary,הונגריה,Europe
63,Greece,יוון,Europe
64,Crete,כרתים ואיי יוון,Europe
65,Latvia,לטביה,Europe
66,Lithuania,ליטא,Europe
67,Lapland,לפלנד,Europe
68,Madeira,מדירה,Europe
69,Mont Blanc,מון בלאן,Europe
70,Montenegro,מונטנגרו,Europe
71,Malta,מלטה,Europe
72,Macedonia,מקדוניה,Europe
73,Norway,נורבגיה,Europe
74,Sicily,סיציליה,Europe
75,Slovenia,סלובניה,Europe
76,Slovakia,סלובקיה,Europe
77,Spain,ספרד,Europe
78,Scandinavia,סקנדינביה,Europe
79,Serbia,סרביה,Europe
80,Sardinia,סרדיניה,Europe
81,Poland,פולין,Europe
82,Portugal,פורטוגל,Europe
83,Czech Republic,צ'כיה,Europe
84,France,צרפת,Europe
85,Corsica,קורסיקה,Europe
86,Croatia,קרואטיה,Europe
87,Romania,רומניה,Europe
88,Russia,רוסיה,Europe
89,Switzerland,שוויץ,Europe
90,United States,ארצות הברית,North & Central America
91,Guatemala,גואטמלה,North & Central America
92,Hawaii,הוואי,North & Central America
93,Mexico,מקסיקו,North & Central America
94,Panama,פנמה,North & Central America
95,Cuba,קובה,North & Central America
96,Costa Rica,קוסטה ריקה,North & Central America
97,Canada,קנדה,North & Central America
98,Ecuador,אקוודור,South America
99,Argentina,ארגנטינה,South America
100,Bolivia,בוליביה,South America
101,Brazil,ברזיל,South America
102,Peru,פרו,South America
103,Chile,צ'ילה,South America
104,Colombia,קולומביה,South America
105,Antarctica,אנטארקטיקה,Antarctica
