trip_id,tag_id
1,11
1,8
2,8
3,11
4,9
4,4
5,11
5,1
5,6
6,11
7,4
7,6
7,8
8,6
8,8
8,11
9,1
10,7
11,1
11,3
11,7
12,6
12,4
13,8
13,11
14,7
14,1
14,3
15,6
15,3
15,2
16,11
16,1
16,6
17,6
17,4
18,1
19,11
19,6
20,11
21,7
22,6
22,1
22,9
23,1
24,9
24,3
25,4
25,6
25,1
26,1
27,7
27,5
27,1
28,9
28,1
28,4
29,4
29,6
29,11
30,6
30,5
31,6
31,8
31,11
32,4
32,6
33,5
34,2
34,3
34,7
35,11
36,8
36,11
37,6
37,1
38,4
38,11
38,1
39,9
40,9
40,4
40,6
41,4
41,1
42,6
42,5
43,11
43,1
43,4
44,8
45,1
45,2
45,6
46,2
46,1
46,3
47,6
47,1
47,11
48,9
48,5
48,6
49,2
49,6
50,5
50,7
51,7
51,2
52,5
53,5
53,7
54,8
55,6
56,1
56,9
57,6
57,1
58,7
58,2
59,1
59,2
59,5
60,11
60,8
61,11
61,4
61,8
62,9
62,3
63,9
64,3
65,6
65,1
65,2
66,9
66,1
67,6
67,1
68,6
69,9
70,5
70,6
70,4
71,5
71,9
72,3
72,6
73,6
73,9
74,1
74,2
75,3
76,1
76,7
76,2
77,1
77,7
78,2
79,3
79,2
79,7
80,3
80,7
80,2
81,3
81,7
82,7
82,2
82,1
83,1
84,7
84,1
84,3
85,1
85,2
86,1
86,2
87,1
87,3
88,2
89,7
89,3
89,1
90,7
90,1
91,7
92,2
92,1
92,3
93,2
94,3
94,1
94,7
95,1
95,2
95,7
96,1
96,2
97,3
97,2
97,7
98,7
99,3
99,2
99,1
100,1
100,3
100,2
101,1
101,3
102,2
102,7
102,1
103,7
104,3
105,1
105,2
105,3
106,7
106,3
107,3
108,3
109,7
109,3
109,2
110,2
111,1
111,4
111,8
112,1
112,4
112,6
113,5
113,2
113,6
114,6
114,9
115,8
115,1
116,1
116,2
117,6
117,1
118,1
118,4
119,6
119,4
119,11
120,4
120,11
121,9
121,4
122,6
122,4
123,6
123,7
123,2
124,3
124,1
125,6
125,1
126,3
126,2
126,1
127,4
127,11
128,11
128,8
129,6
129,1
130,11
130,1
130,4
131,1
131,5
131,7
132,1
133,5
133,1
134,8
134,11
134,4
135,9
135,4
136,8
137,8
137,6
137,11
138,9
138,1
139,8
139,6
140,6
140,8
141,1
141,6
142,6
143,8
143,4
144,4
145,4
146,9
146,3
147,11
148,9
148,5
148,6
149,8
149,4
150,3
151,8
152,11
152,6
