id,name,name_he,continent
1,India,הודו,Asia
2,Japan,יפן,Asia
3,Thailand,תאילנד,Asia
4,Vietnam,וייטנם,Asia
5,China,סין,Asia
6,South Korea,דרום קוריאה,Asia
7,Indonesia,אינדונזיה,Asia
8,Malaysia,מלזיה,Asia
9,Nepal,נפאל,Asia
10,Sri Lanka,סרי לנקה,Asia
11,Cambodia,קמבודיה,Asia
12,Laos,לאוס,Asia
13,Myanmar,מיאנמר,Asia
14,Philippines,פיליפינים,Asia
15,Mongolia,מונגוליה,Asia
16,Bhutan,בהוטן,Asia
17,South Africa,דרום אפריקה,Africa
18,Kenya,קניה,Africa
19,Tanzania,טנזניה,Africa
20,Morocco,מרוקו,Africa
21,Egypt,מצרים,Africa
22,Uganda,אוגנדה,Africa
23,Rwanda,רואנדה,Africa
24,Zimbabwe,זימבבואה,Africa
25,Namibia,נמיביה,Africa
26,Botswana,בוטסואנה,Africa
27,Zambia,זמביה,Africa
28,Senegal,סנגל,Africa
29,Ghana,גאנה,Africa
30,Ethiopia,אתיופיה,Africa
31,Madagascar,מדגסקר,Africa
32,Tunisia,תוניסיה,Africa
33,Australia,אוסטרליה,Oceania
34,New Zealand,ניו זילנד,Oceania
35,Fiji,פיג'י,Oceania
36,Papua New Guinea,פפואה גינאה החדשה,Oceania
37,Tahiti,טהיטי,Oceania
38,Samoa,סמואה,Oceania
39,Vanuatu,ונואטו,Oceania
40,New Caledonia,קלדוניה החדשה,Oceania
41,Cook Islands,איי קוק,Oceania
42,Italy,איטליה,Europe
43,Greece,יוון,Europe
44,Iceland,איסלנד,Europe
45,Ireland,אירלנד,Europe
46,England,אנגליה,Europe
47,Scotland,סקוטלנד,Europe
48,Estonia,אסטוניה,Europe
49,Austria,אוסטריה,Europe
50,Albania,אלבניה,Europe
51,Germany,גרמניה,Europe
52,Holland,הולנד,Europe
53,Hungary,הונגריה,Europe
54,Wales,וויילס,Europe
55,Georgia,גיאורגיה,Europe
56,Denmark,דנמרק,Europe
57,Turkey,טורקיה,Europe
58,Latvia,לטביה,Europe
59,Lithuania,ליטא,Europe
60,Montenegro,מונטנגרו,Europe
61,Malta,מלטה,Europe
62,Macedonia,מקדוניה,Europe
63,Norway,נורבגיה,Europe
64,Sicily,סיציליה,Europe
65,Slovenia,סלובניה,Europe
66,Slovakia,סלובקיה,Europe
67,Spain,ספרד,Europe
68,Scandinavia,סקנדינביה,Europe
69,Serbia,סרביה,Europe
70,Sardinia,סרדיניה,Europe
71,Poland,פולין,Europe
72,Portugal,פורטוגל,Europe
73,Czech Republic,צ'כיה,Europe
74,France,צרפת,Europe
75,Corsica,קורסיקה,Europe
76,Croatia,קרואטיה,Europe
77,Romania,רומניה,Europe
78,Russia,רוסיה,Europe
79,Switzerland,שוויץ,Europe
80,United States,ארצות הברית,North & Central America
81,Guatemala,גואטמלה,North & Central America
82,Hawaii,הוואי,North & Central America
83,Mexico,מקסיקו,North & Central America
84,Panama,פנמה,North & Central America
85,Cuba,קובה,North & Central America
86,Costa Rica,קוסטה ריקה,North & Central America
87,Canada,קנדה,North & Central America
88,Ecuador,אקוודור,South America
89,Argentina,ארגנטינה,South America
90,Bolivia,בוליביה,South America
91,Brazil,ברזיל,South America
92,Peru,פרו,South America
93,Chile,צ'ילה,South America
94,Colombia,קולומביה,South America
95,Antarctica,אנטארקטיקה,Antarctica
96,Uzbekistan,אוזבקיסטן,Asia
97,Azerbaijan,אזרבייג'ן,Asia
98,United Arab Emirates,איחוד האמירויות,Asia
99,Hong Kong,הונג קונג,Asia
100,Taiwan,טאיוואן,Asia
101,Tajikistan,טג'יקיסטן,Asia
102,Tibet,טיבט,Asia
103,Jordan,ירדן,Asia
104,Israel,ישראל,Asia
105,Singapore,סינגפור,Asia
106,Oman,עומאן,Asia
107,North Korea,צפון קוריאה,Asia
108,Kyrgyzstan,קירגיזסטן,Asia
109,Ukraine,אוקראינה,Europe
110,Azores,איים האזורים,Europe
111,Canary Islands,איים הקנריים,Europe
112,Armenia,ארמניה,Europe
113,Bulgaria,בולגריה,Europe
114,Bosnia and Herzegovina,בוסניה והרצגובינה,Europe
115,Belgium,בלגיה,Europe
116,Greenland,גרינלנד,Europe
117,Dagestan,דגסטאן,Europe
118,Netherlands,הולנד,Europe
119,Crete,כרתים ואיי יוון,Europe
120,Lapland,לפלנד,Europe
121,Madeira,מדירה,Europe
122,Mont Blanc,מון בלאן,Europe
